Comment,Designator,Footprint,LCSC
"100n","C1,C2,C3,C4","Capacitor_SMD:C_0603_1608Metric","C14663"
"4.7k","R1,R11,R12,R13,R14,R15,R16,R17,R18,R21,R22,R23,R24,R25,R26,R27,R28,R31,R32,R33,R34,R35,R36,R37,R38,R41,R42,R43,R44,R45,R46,R47,R48","Resistor_SMD:R_0603_1608Metric","C23162"
